Code: UUR003 | Rate: 0.0000 | Amt: 0.0 | Step: 60.0 | Date: 20190101
Code: UUR003 | Rate: 2.9300 | Amt: 0.04883333 | Step: 1.0 | Date: 20190101
Code: UUR003 | Rate: 0.0000 | Amt: 0.0 | Step: 60.0 | Date: 20180101
Code: UUR003 | Rate: 2.5800 | Amt: 0.043 | Step: 1.0 | Date: 20180101
Code: UUR003 | Rate: 0.0000 | Amt: 0.0 | Step: 60.0 | Date: 20171001
Code: UUR003 | Rate: 2.5300 | Amt: 0.04216667 | Step: 1.0 | Date: 20171001
Code: UTG5 | Rate: 3.0000 | Amt: 0.05 | Step: 1.0 | Date: 20260101
Code: UTG5 | Rate: 2.9400 | Amt: 0.049 | Step: 1.0 | Date: 20250101
Code: UTG5 | Rate: 2.8100 | Amt: 0.04683333 | Step: 1.0 | Date: 20240101
Code: UTG5 | Rate: 2.6400 | Amt: 0.044 | Step: 1.0 | Date: 20230101
Code: UTG5 | Rate: 2.5500 | Amt: 0.0425 | Step: 1.0 | Date: 20220101
Code: UTG5 | Rate: 2.4700 | Amt: 0.04116667 | Step: 1.0 | Date: 20210222
Code: UTG2 | Rate: 2.8500 | Amt: 0.0475 | Step: 1.0 | Date: 20260101
Code: UTG2 | Rate: 2.8000 | Amt: 0.04666667 | Step: 1.0 | Date: 20250101
Code: UTG2 | Rate: 2.6700 | Amt: 0.0445 | Step: 1.0 | Date: 20240101
Code: UTG2 | Rate: 2.5100 | Amt: 0.04183333 | Step: 1.0 | Date: 20230101
Code: UTG2 | Rate: 2.4300 | Amt: 0.0405 | Step: 1.0 | Date: 20220101
Code: UTG2 | Rate: 2.3500 | Amt: 0.03916667 | Step: 1.0 | Date: 20210101
Code: UTG2 | Rate: 2.2800 | Amt: 0.038 | Step: 1.0 | Date: 20200101
Code: UTG2 | Rate: 2.2100 | Amt: 0.03683333 | Step: 1.0 | Date: 20190101
Code: UTG2 | Rate: 2.1400 | Amt: 0.03566667 | Step: 1.0 | Date: 20180101
Code: UTG2 | Rate: 2.1000 | Amt: 0.035 | Step: 1.0 | Date: 20170808
Code: UTG1 | Rate: 3.5800 | Amt: 0.05966667 | Step: 1.0 | Date: 20260101
Code: UTG1 | Rate: 3.5000 | Amt: 0.05833333 | Step: 1.0 | Date: 20250101
Code: UTG1 | Rate: 3.3500 | Amt: 0.05583333 | Step: 1.0 | Date: 20240101
Code: UTG1 | Rate: 3.1500 | Amt: 0.0525 | Step: 1.0 | Date: 20230101
